[header]
width=16
height=12
tilewidth=64
tileheight=64

[tilesets]
tileset=../Sprites/Tiles_64.png,64,64,0,0

[layer]
type=Calque de Tile 1
data=
18,3,22,32,32,32,32,32,32,32,32,32,32,32,32,32,
6,3,13,24,24,24,24,24,24,24,24,24,24,24,25,32,
23,2,3,3,3,17,3,11,11,11,11,11,11,3,22,32,
28,21,21,6,17,5,21,21,21,21,21,21,6,3,22,32,
32,32,32,23,3,22,32,32,32,32,32,32,23,2,22,32,
32,32,32,23,2,22,32,32,32,32,32,32,23,3,22,32,
32,32,32,23,3,13,24,24,24,24,24,25,23,12,22,32,
32,32,32,23,11,11,11,11,11,11,11,22,23,12,22,32,
32,32,32,28,21,21,21,21,21,6,3,22,23,12,22,32,
32,32,32,32,32,32,32,32,32,23,3,13,14,12,13,24,
32,32,32,32,32,32,32,32,32,23,3,3,1,3,3,19,
32,32,32,32,32,32,32,32,32,28,21,21,21,21,21,21

